Date,INFO 1st,INFO 2nd,ICICI 1st,ICICI 2nd,Tata 1st,Tata 2nd
1/28/2016,1129.6,1134.85,233.2,233.75,334.2,335.85
1/27/2016,1137.3,1140.65,236.75,235.55,337.2,338.8
1/25/2016,1138.35,1140.4,234.55,233.85,333.15,334.35
1/22/2016,1139.65,1142.85,233.1,232.9,340.5,341.65
1/21/2016,1139.05,1143.05,226.65,226.4,329.45,330.5
1/20/2016,1124.2,1128.25,223.95,223.3,342.95,344
1/19/2016,1141.9,1147,228.6,228.45,354.45,355.7
1/18/2016,1136.75,1141.45,223.75,223.7,341.4,342.4
1/15/2016,1143.6,1149.1,224.9,224.8,341.45,342.4
1/14/2016,1135.35,1140.05,234.85,234.3,354.45,354.7
1/13/2016,1085.5,1090.1,239.6,239.25,365.2,366.3
1/12/2016,1054.2,1058.8,237.55,237.5,356.4,357.6
1/11/2016,1060.1,1064.35,239.85,239.9,361.05,362.1
1/8/2016,1066.25,1069.8,245,245.1,353.8,354.75
1/7/2016,1055,1058.4,246.2,246.35,343.9,344.1
1/6/2016,1070.3,1075,250.05,250.1,367.05,368.2
1/5/2016,1076.55,1079.9,256.15,256.15,375.9,376.8
1/4/2016,1082.5,1087.5,255.25,255.45,378.25,379.5
1/1/2016,1106.05,1110.25,263.6,263.65,403.95,405.25
12/31/2015,1105.4,1106.1,261.35,260.95,391.3,392.7
12/30/2015,1087.3,1092.6,262.15,261.85,393.65,395.45
12/29/2015,1104.9,1109.75,264.45,263.9,391.95,393.8
12/28/2015,1102.5,1107.8,262.25,262.2,394.1,395.1
12/24/2015,1098.05,1102.45,258.45,258.45,383.65,384.75
12/23/2015,1099.45,1104.5,260.35,260.65,379.7,380.9
12/22/2015,1083.05,1087.8,257.5,257.95,378.5,379.7
12/21/2015,1103.3,1108.3,257.25,257.95,381.6,382.65
12/18/2015,1087.6,1093.15,250.2,251.1,379.3,380.3
12/17/2015,1107.6,1112.45,253.75,254.9,384.4,385.3
12/16/2015,1096.25,1101.8,251.5,252.6,381.35,382.8
12/15/2015,1078.6,1084.35,246.7,247.7,380.75,381.75
12/14/2015,1070.25,1075.2,249.95,251.35,373.55,374.9
12/11/2015,1054.45,1060.3,250.75,252,379.75,381.35
12/10/2015,1052.45,1058.35,260.2,261.35,391.75,392.85
12/9/2015,1032.9,1038.05,260.55,261.75,395.9,397.05
12/8/2015,1050,1057.55,262.1,263.45,403.2,404.8
12/7/2015,1052.75,1059.35,264.05,265.35,401.4,402.35
12/4/2015,1053.7,1059.8,263.25,264.65,402.15,403.35
12/3/2015,1061,1066.95,267.25,268.7,407.2,408.3
12/2/2015,1066.7,1071.9,271.35,272.6,414.45,414.8
12/1/2015,1082.7,1086.3,274.85,276,418.25,418.95
11/30/2015,1094.05,1100.3,275.3,276.25,423.9,424.6
11/27/2015,1070.5,1075.65,270.2,271.6,417.6,418.1
11/26/2015,1052.4,1059.45,264,265.25,424.4,422.8
11/24/2015,1041.2,1045.05,263.3,264.05,401.1,401.95
11/23/2015,1052.5,1057.4,265.55,266.6,402.3,402.55
11/20/2015,1051.05,1056.45,264.45,265.45,403.6,404.2
11/19/2015,1048.3,1053.8,266.15,267.2,407.9,408.2
11/18/2015,1022,1027.6,260.2,261.4,405.05,405.4
11/17/2015,1064.95,1070.8,268.25,269.6,408.1,408.35
11/16/2015,1084.15,1090.95,267.4,268.65,400.65,400.45
11/13/2015,1103.95,1110.15,262.15,263.2,402,401.9
11/11/2015,1109.65,1115.95,262.3,263.9,410.65,410.8
11/10/2015,1108.65,1114.55,262.85,264.2,406.25,406.4
11/9/2015,1137.1,1143.2,263.65,265.4,411.65,411.9
11/6/2015,1141.65,1148.8,268.6,270.1,394.15,394.7
11/5/2015,1128.3,1133.7,271.3,272.55,402.3,402.65
11/4/2015,1142.75,1148.25,274.45,275.65,405.35,405.65
11/3/2015,1150,1153.75,279.9,281.3,382,382.2
11/2/2015,1136.45,1142.25,280.05,281.55,386.9,387.3
10/30/2015,1140,1145.15,278.65,279.9,384.25,384.5
10/29/2015,1145.05,1147.65,271.45,272.9,391.2,391
10/28/2015,1152.05,1157.7,271.95,273.25,386.5,387.4
10/27/2015,1150.85,1156.05,284.25,285.6,383.8,384.7
10/26/2015,1153.5,1158.55,285.5,286.9,384.6,384.75
10/23/2015,1147.75,1152.5,285.9,287.15,383.2,383.25
10/21/2015,1139.75,1144.05,282.65,284.15,380.95,381.15
10/20/2015,1124.8,1130.45,286,287.5,383.1,383.55
10/19/2015,1112.1,1117.8,287.4,288.95,378.2,378.8
10/16/2015,1097.5,1102.75,291.15,292.45,384.65,385.05
10/15/2015,1089.95,1094.75,286.45,288.05,378.9,379.15
10/14/2015,1093.1,1098.45,283.2,284.85,352.85,353.65
10/13/2015,1093.55,1099.3,287.55,289.15,359.55,360.1
10/12/2015,1114.75,1120.35,287.6,289.05,360.8,361.3
10/9/2015,1165.35,1170.45,286.3,287.9,356.25,356.5
10/8/2015,1130.4,1134.45,279.1,280.7,342.7,343.45
10/7/2015,1132.3,1138.45,283.25,284.85,340.15,340.6
10/6/2015,1151.55,1157.6,282.9,284.4,333.15,333.7
10/5/2015,1174.5,1180.8,281.35,283.15,316.3,317.3
10/1/2015,1170.35,1175.7,268.25,270,298.55,298.9
9/30/2015,1156.45,1159.85,271.55,273.25,299.8,300.25
9/29/2015,1118.85,1124.35,270.65,272.15,290.5,291.15
9/28/2015,1105.25,1110.5,269.1,270.85,286.5,287.2
9/24/2015,1140.55,1135.95,268.3,269.9,303.4,305.05
9/23/2015,1117.85,1115.95,273.3,274.7,311,311.05
9/22/2015,1104.65,1103.1,270.15,271.7,315,314.7
9/21/2015,1104.85,1103.7,279.3,280.9,330.75,330.35
9/18/2015,1106.95,1104.55,278.35,280.2,328.85,328.95
9/16/2015,1101.75,1100.15,272.65,274.15,338.4,338.6
9/15/2015,1098.8,1096.85,269.25,270.9,334.2,334.45
9/14/2015,1100,1099.15,272.3,274.1,346.1,346.25
9/11/2015,1091.05,1090.7,267.6,269.15,344.05,344.3
9/10/2015,1084.95,1083.3,267.8,269.2,353.75,354.2
9/9/2015,1091.5,1090.8,264.7,266.2,344.3,344.55
9/8/2015,1064.65,1064,262.15,263.85,331.85,331.95
9/7/2015,1063.65,1063.9,250.25,251.75,321.8,321.65
9/4/2015,1077.75,1078.1,258.9,260.6,321.05,321
9/3/2015,1105.25,1106.1,267.9,269.55,332.85,332.45
9/2/2015,1103.95,1104.2,265.75,267.5,324.6,324.7
9/1/2015,1093.25,1094.15,272.1,274.25,326.1,326
8/31/2015,1100.95,1101.8,279.45,280.75,339,339.35
8/28/2015,1116.2,1113.3,284.6,286.1,338.55,338.15
8/27/2015,1082.8,1090.8,282.45,284.55,334.05,334.5
8/26/2015,1066.7,1072,278.25,279.5,332.25,331.8
8/25/2015,1087.75,1093.3,283.35,284.85,328.35,327.85
8/24/2015,1093.75,1099.15,269.25,270.25,306.1,307.7
8/21/2015,1149.05,1154.9,296.6,298.15,332.75,333.7
8/20/2015,1138.55,1145.3,298.75,300.45,340.95,341.85
8/19/2015,1175.7,1181.5,304.75,306.3,352.05,352.95
8/18/2015,1164.95,1170.55,301.7,303.5,349.3,350.6
8/17/2015,1144.3,1150.05,303.35,305.1,355.45,356.8
8/14/2015,1153,1158.55,303.7,305.4,356,357.3
8/13/2015,1157.35,1162.2,293.2,294.95,350,351.1
8/12/2015,1144.85,1147.15,293,294.85,354.65,356
8/11/2015,1112.85,1118.15,303.6,305.15,369.15,370.3
8/10/2015,1085.05,1089.65,310.5,311.6,384.6,385.75
8/7/2015,1097.6,1102.2,311.35,312.8,393.45,394.95
8/6/2015,1091.8,1097.55,312.35,314.1,384.4,386.05
8/5/2015,1089.45,1094.65,312.85,314.6,377.6,379.35
8/4/2015,1063.05,1069.25,315.1,316.85,381.85,383.4
8/3/2015,1081.6,1086.1,313.65,315.3,387.85,389.35
7/31/2015,1083.7,1089.35,304.55,306.4,385.2,387.05
7/30/2015,1070,1073.4,291,292.6,377.45,379.1
7/29/2015,1083.65,1088.95,289.25,290.8,376.55,377.6
7/28/2015,1065,1070.45,285.85,287.4,371.15,372
7/27/2015,1067.8,1073.55,291.85,293.65,377.3,378.2
7/24/2015,1089.55,1095.3,301.4,303.1,391,392.05
7/23/2015,1098,1103.4,313.75,315.4,401.85,402.9
7/22/2015,1102.35,1107.25,317.45,319,390.8,391.95
7/21/2015,1115.6,1120.05,311.6,313.25,389.65,390.75
7/20/2015,1003.6,1010.4,316.55,318.05,391.9,393.2
7/17/2015,1002.5,1007,318.4,319.7,399.35,400.85
7/16/2015,990.6,995.55,318.5,320.1,396,397.45
7/15/2015,984.75,990.2,315.65,317.5,395.8,397.1
7/14/2015,972.85,977.4,314.65,316.1,387.55,389.15
7/13/2015,954.5,959.6,317.5,319.15,404,405.75
7/10/2015,942.3,946.9,314.75,316.35,403.55,405.1
7/9/2015,941.85,947.45,310.55,312.2,398.35,399.9
7/8/2015,961.95,967.05,309.05,310.8,404.3,405.85
7/7/2015,984.95,990.45,314.15,315.6,433.2,435.25
7/6/2015,988.45,994.2,316.55,318.45,432.15,434.35
7/3/2015,994.35,1000.25,315.1,317,433.7,435.4
7/2/2015,990.95,996.45,313.3,315.6,436.3,438
7/1/2015,1001.55,1007.6,313.8,315.6,445.6,447.75
6/30/2015,989.45,996.6,309.6,311.35,434.25,436.3
6/29/2015,994.8,1000.55,312.35,314.4,429.5,431.7
6/26/2015,1010.85,1016.6,312.55,314.55,437.95,440.3
6/25/2015,990.45,997.25,314.8,316.85,432.4,433.7
